tsne1,tsne2,tsne3,class
40.110603,-9.488713,17.788416,inside
76.0294,-4.772156,-8.010772,drink
-46.248722,-99.18364,5.2920675,food
10.419244,34.046867,-12.492656,inside
44.040993,94.809364,-14.14666,outside
-25.675112,-87.42948,17.875021,food
-46.275467,-81.736046,38.123177,food
-76.16777,54.724796,-21.124323,menu
0.4402601,-59.527958,-43.99893,food
-50.868263,-80.55757,-32.17371,food
-48.266777,-74.5539,30.026585,food
-41.23312,-56.031548,-5.1156125,food
57.894764,77.571976,6.5398993,outside
31.901245,-42.570473,-3.0342436,food
-48.33198,19.699183,-51.769157,outside
-75.76408,-82.89598,27.98138,food
13.257445,60.786526,69.32303,inside
-27.241627,-45.791626,0.73378074,food
78.546036,-38.140224,9.142962,drink
20.517214,7.5679154,-23.347534,inside
-12.094916,87.99178,28.865137,outside
47.719925,43.0401,-26.966318,inside
-10.690643,-18.840477,29.868753,food
1.7051877,-22.999844,-89.58171,inside
-56.08038,-10.715907,-38.922276,food
18.82998,100.310684,-28.07159,outside
-10.669741,-69.33235,-27.787754,food
-35.215878,-66.03428,51.6827,food
12.980001,50.250805,-10.001493,inside
8.198901,-36.15293,-19.020561,inside
51.997166,77.73295,-22.918913,outside
-54.34787,-103.24612,9.716459,food
-36.426575,2.4809792,-57.333336,outside
-7.002959,-25.395336,23.064468,food
-75.15775,-57.157036,-0.04597513,food
-50.706898,15.43762,78.55232,menu
-21.482515,-35.131496,-72.78294,inside
-58.725163,-36.896576,-70.42691,inside
25.143326,43.49815,-19.14913,inside
80.0265,-77.15644,-26.229053,inside
5.6243176,106.67251,8.1863,outside
-36.58828,44.321484,0.7044441,inside
34.18392,40.268032,-23.365171,inside
-32.02948,-66.69037,-11.6277485,food
-17.59966,-58.56454,29.008057,food
-3.8720167,-52.45974,-49.717915,food
10.998915,23.066793,-81.06639,inside
3.3986266,-57.09535,-65.43627,inside
-45.765648,-53.90924,-23.618998,food
-83.78314,-81.87775,11.971564,food
26.632494,-64.12249,62.6202,food
7.748027,-74.865906,-9.370957,food
29.912096,-3.1872916,-8.46544,inside
6.1544943,98.55308,-45.169468,outside
-18.828602,-85.639595,-43.137745,food
-36.25922,-83.342155,31.604572,food
-58.941456,-111.37429,6.0120807,food
8.279085,7.6027164,-20.379135,inside
23.323195,-78.41885,7.918219,food
-25.976894,-114.65381,12.207369,food
-70.0936,-84.18548,9.509655,food
-14.258175,-110.80834,41.16919,food
63.621372,-95.74855,10.723142,drink
-26.78913,-110.933495,27.311773,food
-35.944786,-113.37707,7.758476,food
-47.25909,-62.000626,27.415495,food
-52.390846,-80.16968,1.252096,food
53.084106,-47.976135,-20.76675,drink
6.344685,-58.926094,53.37638,drink
37.366886,28.476706,-28.770695,inside
-16.718615,-11.562865,29.716034,food
27.6363,-2.7765,8.758741,inside
10.286578,31.690735,5.4019437,inside
5.361656,57.364662,65.76542,inside
-37.57666,-99.008286,34.67998,food
-28.103004,-91.13561,27.154299,food
54.92759,0.8858342,8.778844,inside
-69.34944,-85.96949,-6.9315467,food
55.306065,16.590185,-20.074396,inside
8.082443,-93.299995,-19.59202,food
-60.86166,-8.634484,-47.793495,inside
-41.961613,-76.238144,-20.57982,food
29.52412,3.7543454,-1.949611,inside
-79.35742,-102.66836,-2.5263479,food
-40.609608,-71.67882,17.996237,food
-18.925,-11.39567,-29.73396,inside
-5.6548605,37.736336,-19.78763,inside
16.874653,59.537224,-57.40641,inside
-55.61917,-92.75776,1.0662283,food
-38.644917,-119.50468,36.90129,food
27.02133,-40.751747,-37.03108,food
39.950497,53.548187,-11.981285,outside
-54.999695,-48.94184,7.1481347,food
-89.75726,-111.05806,0.28479582,food
11.539154,52.877594,-30.071991,inside
-5.55625,-48.960636,-40.441277,food
-18.453384,-56.607418,15.4644985,food
-43.774406,-119.186554,27.7679,food
-36.33427,-65.52689,32.865604,food
-72.12403,-80.028366,-0.6344987,food
-6.392544,-30.355228,-65.81229,inside
37.138092,92.34813,-1.9692106,outside
41.46423,-99.307335,33.5613,drink
-68.716515,-68.43529,10.000834,food
24.80766,34.821766,39.9691,inside
-2.102986,58.790165,-77.57861,inside
60.488003,-43.331287,-49.48719,drink
21.714016,33.02449,-15.67003,inside
-61.40201,-72.66545,11.236273,food
-27.721655,-54.755955,30.850058,food
42.7749,11.038988,-19.886301,inside
-26.3488,-89.47677,-16.830963,food
4.2895174,-47.338795,-42.50112,food
93.58297,52.162994,-16.302149,inside
-34.53184,-84.59636,-4.3940516,food
-48.61879,-100.536446,-3.3059554,food
-83.42323,-66.46103,-5.418168,food
24.485493,-35.04809,50.654213,drink
-58.952415,-88.244774,-19.801384,food
34.215717,-100.79403,16.640318,drink
-5.8763123,-97.26936,29.9987,food
63.32345,25.069082,-7.2319274,inside
-32.89003,17.080486,-76.533485,inside
-79.05767,-29.811808,-13.026358,menu
0.6209906,1.7373921,-26.354992,inside
53.124535,19.713608,-36.73722,inside
1.2295636,-92.8995,-40.3527,food
20.303825,26.909931,-7.32646,inside
16.075254,20.487637,-23.82836,inside
-28.61627,-61.80728,-57.00677,food
-34.014023,-5.7766156,-21.345726,food
18.321762,-71.437515,-36.584946,food
14.939244,10.009908,31.977268,outside
-2.2264764,11.197876,-36.635174,inside
-26.459595,-32.140774,-28.981304,food
-15.053601,-47.488922,30.947044,food
-26.32436,-107.210976,1.6929144,food
-56.874016,-101.465355,28.331274,food
95.26884,59.597095,1.4510338,inside
-48.496307,-115.61709,21.131002,food
-27.784006,15.050207,57.143375,menu
99.75285,47.974464,-25.90747,outside
-35.884502,-51.40009,-27.280096,food
-24.239937,-31.144484,9.082481,food
25.56729,21.965406,39.77376,inside
14.254946,-77.36415,-27.128386,food
-29.156887,-39.236446,27.012835,food
58.119473,-5.4757586,35.9801,inside
-39.634315,-48.722404,41.88295,food
23.240238,-89.87823,5.27208,food
-15.646285,-61.463985,42.18459,food
-24.079515,-113.224594,-8.15125,food
33.594524,-84.82086,-20.673857,food
-8.551554,59.329357,-1.179203,outside
75.55244,-23.18856,1.3437723,drink
-69.78656,-88.79368,-24.513844,food
10.906815,31.742517,23.59372,inside
-23.463606,-89.01007,-27.26414,food
-42.52265,-81.83401,-3.6681972,food
-13.541787,-9.734742,-68.82094,inside
30.768362,65.38758,19.268923,outside
-7.4131856,-109.20467,-4.8104167,food
-52.44301,-68.2154,0.9847264,food
45.938858,5.423913,65.53334,inside
86.49507,17.928577,-35.779526,inside
-79.14864,-64.95804,-14.296187,food
-3.677378,-54.458763,10.09217,food
-45.66292,-92.482185,-30.480404,food
-12.044537,-65.650734,-50.870277,food
-12.911009,0.04530199,-79.22146,food
-13.04802,-55.458374,-2.9331114,food
0.9161282,50.60091,-24.732248,inside
-16.658016,-95.87203,-18.35439,food
-18.284243,-77.37994,43.778835,food
-58.22018,-79.251816,26.057312,food
74.68796,-30.277754,-48.557697,drink
58.079723,-57.583424,-29.556894,drink
-33.882774,20.223244,-9.464607,food
-29.618856,-92.07534,43.769737,food
76.45145,-17.451382,22.06174,drink
54.319717,34.57482,21.616987,inside
-17.47524,20.126085,12.041745,inside
-23.930742,-104.38706,-32.192654,food
7.0359817,83.01785,-20.260843,outside
20.029442,-46.65785,63.78617,drink
-26.692875,-83.02442,40.534,food
-31.450176,-76.8699,-18.703844,food
32.36849,18.446903,-26.967905,inside
-15.553127,-84.51807,-50.79061,food
-29.555862,-34.36236,2.9260092,food
8.562198,-90.07325,-32.584183,food
11.227253,94.970474,24.33812,outside
-17.271513,-3.1732507,17.56044,inside
-29.405281,39.32719,-23.302387,inside
90.76628,-16.479195,3.9607432,drink
62.01336,-23.328726,-14.488348,drink
-35.288563,-10.017105,-78.41295,inside
47.08748,-92.59161,4.3480477,drink
89.87479,28.323414,-24.278841,inside
-55.65195,-47.019302,-1.7355562,food
-26.748806,-70.86832,14.404628,food
-38.579685,-35.212166,-8.607447,food
2.0169823,-4.907072,-35.550625,inside
48.97127,58.76841,-10.189257,outside
15.176515,-80.74461,7.185945,food
-41.0784,-37.41858,-16.85445,food
-72.791046,-53.477077,27.473665,food
-88.74009,-76.78845,-8.880651,food
-9.026519,39.548717,-64.76825,inside
-28.631186,-82.186035,2.0430279,food
-30.442942,-79.80821,20.12179,food
50.558285,45.009823,44.449627,inside
36.747063,102.292244,-47.177124,outside
-14.55422,57.525646,-45.736946,outside
3.777267,78.62426,24.04786,outside
-8.615003,-31.497381,-96.933846,food
36.361988,35.754856,9.519575,inside
-1.913968,-75.04817,7.973381,drink
82.02935,-63.64481,-19.20101,drink
-0.9511037,-55.055496,-27.768864,food
52.373188,-54.873417,34.41883,drink
2.2057154,42.11053,10.968478,inside
50.817036,-14.593382,-23.029419,drink
-58.844467,63.241596,-35.57852,inside
36.760563,-89.5531,-8.083233,food
19.632746,-41.764603,10.156894,drink
-27.128046,-63.541306,-0.58730185,food
-33.62108,-97.696236,-17.227373,food
-39.250942,-64.72727,41.91203,food
7.573316,-55.82829,-23.468458,food
-53.865032,-123.50938,25.865587,food
-20.041565,-41.097755,-54.82952,inside
-47.924873,37.579792,-4.53973,inside
58.949493,31.969059,34.316532,food
-41.6965,2.6005592,-18.851082,food
-15.9436,-108.55441,25.393784,food
-18.166885,-94.21558,4.010612,food
-22.919285,-124.21839,10.733923,food
-11.990146,-107.50512,17.807152,food
-35.657112,-44.649998,-53.3797,food
23.345568,-102.13009,9.912611,food
20.451511,120.50242,-19.89914,inside
-58.776855,-41.675167,-10.175935,food
-40.045815,-91.91907,-10.96016,food
-70.40456,-68.75184,-5.2032337,food
38.467556,61.565334,55.421898,inside
-17.638556,3.9658911,-8.595486,inside
15.489245,-57.531334,-29.795944,food
-72.361565,-99.06979,-10.450981,food
-67.7172,-16.427908,1.0972699,menu
13.048492,29.183771,-48.13033,inside
34.090385,41.582832,-65.65251,inside
-37.588642,-16.06507,2.1802814,food
-57.89376,-93.24878,28.448116,food
6.6876216,-64.16096,-60.87799,food
-67.26177,-120.94524,20.124329,food
-12.871243,-53.293003,-48.33199,food
42.793087,80.23194,-14.21507,inside
