tsne1,tsne2,tsne3,class
-61.846077,-101.09285,7.0528564,inside
-34.887486,174.57014,-38.865643,drink
-117.85206,-19.921885,133.88554,food
-25.838291,-57.16064,-81.55384,inside
-24.988773,27.199907,153.13676,outside
95.611145,70.22346,62.0619,food
-48.1399,46.80162,-102.395386,food
70.42871,-80.69193,-112.2185,menu
-105.23248,165.9073,-21.007738,food
-36.040806,88.423225,-67.97204,food
43.735123,4.637804,21.815807,food
-43.90387,-37.120262,144.5464,food
-17.751884,-25.576317,-76.88991,outside
-59.80877,34.179398,-50.366856,food
9.842788,-60.513386,48.283234,outside
9.227777,144.61055,60.704517,food
-23.409718,-59.47355,-0.30374363,inside
-56.063118,40.714962,44.24097,food
-104.311424,99.90372,40.450138,drink
-13.133806,-64.72512,-30.887873,inside
-74.712006,-65.62717,-40.538544,outside
-85.92933,55.472057,-72.41554,inside
37.890827,39.032494,-71.870125,food
30.461403,22.097527,-45.9473,inside
-72.095406,99.46668,27.454199,food
101.80783,-46.87722,-48.099983,outside
119.922104,-0.9878748,72.85837,food
-32.602425,169.20848,-2.2238536,food
64.6473,-34.45405,32.137566,inside
-90.028244,40.419033,104.620285,inside
125.15744,-36.499863,-21.89178,outside
-171.24687,-45.236477,-28.241634,food
-136.00188,87.070206,-55.8738,outside
67.93417,60.273174,-43.09857,food
-26.370882,41.932903,-70.02811,food
-11.415189,-105.45195,-71.26452,menu
-38.082684,-21.24302,-27.936005,inside
-9.695212,-106.8827,64.86808,inside
-135.97531,-133.28363,8.974545,inside
17.568085,16.416649,-3.6179461,inside
-137.016,40.29582,-121.539185,outside
-3.5662322,89.86344,152.63332,inside
-115.0708,78.4844,67.45335,inside
-113.65325,41.37228,131.96298,food
64.703255,-28.141773,-12.668376,food
157.71585,-2.4922242,-51.824696,food
89.46522,88.12472,10.981691,inside
141.39589,30.828093,-11.205823,inside
133.39922,60.28428,-55.9654,food
-157.60643,-65.806755,-69.443245,food
-35.975067,153.5118,47.70115,food
-11.55847,55.542355,16.928188,food
-129.15431,-75.68832,-14.582519,inside
-52.430267,138.73787,-49.30876,outside
27.938251,91.29473,50.253006,food
72.181175,71.13815,-7.8658023,food
